Degree,Training_score,Testing_score,MSE_Test_dataset
1,0.8435437234312617,0.8673677729431606,4.4776639854389
2,0.9002708343337361,0.9098805961418749,3.0424310742503025
3,0.9067651198323884,0.8908211442913908,3.685878168722647
4,0.9069497352607991,0.8925985938980832,3.625871470000713
5,0.9069975949215086,0.8949741228567534,3.5456736123560075
6,0.907019841478317,0.8946562684665644,3.5564043765687865
7,0.9072894748428045,0.9031405915649251,3.269973628768129
8,0.9104369418947815,0.9006990644815595,3.352399583102552
9,0.9107464494171339,0.8511004068799746,5.026850263732057
10,0.911151644451692,0.8314099912507094,5.69159869537605
11,0.9134265120411486,-2.670725258557662,123.92368472890668
12,0.9134959270353217,-2.646310864845548,123.0994547971857
13,0.9159197932243377,-38.080681331864064,1319.3638017637309
14,0.9159710682227423,-38.13831939218233,1321.3096626800757
15,0.9174176273803952,-559.851542330796,18934.34806908767
16,0.9174369933739199,-554.8353052589079,18764.99990554073
17,0.9177291154762166,-1.4009870203878867,81.05732180829506
18,0.9179580516550596,-3.7144761728767897,159.16071559632044
19,0.9179595974958511,-3.016541562779061,135.5984431594211
20,0.9194355071262569,-79.37201488176379,2713.359222408346
21,0.9198590243649591,-17696.828271069528,597478.6824313073
22,0.9218996206325129,-6664.786193003202,225036.94187578812
23,0.9299467603570462,-1998216.3025016992,67459816.13245736
24,0.931276696096563,-1334230.2885723747,45043648.30220338
25,0.9344952464056518,-660867.1704935875,22310909.435863513
26,0.9375556006304818,-6814.4426806862775,230089.34489996874
27,0.9394148863429905,-73661062.67458285,2486797509.6539173
28,0.9396541304643797,-58923056.83091419,1989242432.371663
29,0.9406244634581861,-990896006.6770549,33452649219.177376
30,0.9411026010933098,-1023953924.041751,34568684509.409515
31,0.9422130362790947,-19789243749.604126,668084869020.3953
32,0.9425395367994155,-22661153395.59669,765040538669.1042
33,0.9442214698269269,-21159037110.952812,714329092899.527
34,0.9454779869092073,-29666343214.356033,1001535746950.4198
35,0.9455375156261793,-4392802523.383601,148301013223.1904
36,0.9486565988853104,-54068445384.697014,1825350716221.1313
37,0.9487242409264072,-399498852933.7618,13487081275077.559
38,0.9546108593604561,-1567455834068.59,52917308958189.37
39,0.9550662093135458,-5061455979891.526,170874753881171.7
40,0.9553704931513337,-5512740341456.678,186110113927611.2
41,0.9556525667253492,-123924488307086.05,4183690725247259.0
42,0.9512637118249426,-832903349102090.9,2.811881706568662e+16
43,0.9557045088728681,-1774674168035145.0,5.9912999912866536e+16
44,0.8253740429781019,-6417720553623118.0,2.166622458903165e+17
45,0.9562751747792958,-2.278537619561479e+16,7.692343003639555e+17
46,0.9568187289400643,-8386601777382414.0,2.8313167600443034e+17
47,0.9568340242689842,-3.5621945542918896e+16,1.202596881528942e+18
48,0.9617267054826154,-1.194173056276349e+17,4.031528237988954e+18
49,0.9517435022155206,-527357930305278.2,1.7803603727106228e+16
50,0.9529928208120249,-1.1833062453657683e+17,3.994841884354834e+18
51,0.9428600729343545,-8.048804391491869e+19,2.717276362567655e+21
52,0.910016171679692,-5.866071445358282e+19,1.9803857199529565e+21
53,0.9541236755258481,-8.26577236101275e+19,2.7905247490779046e+21
54,0.9255668436385032,-7.689181308716199e+19,2.595867609822589e+21
55,0.9651778539357734,-2.006971414756635e+20,6.7755354962184e+21
56,0.9527573725363703,-3.521069244992197e+20,1.1887129771093659e+22
57,0.962379050169939,-6.263138101251345e+20,2.114435422982454e+22
58,0.9238468962095622,-1.1478285353047546e+22,3.875069135188852e+23
59,0.9650248154124111,-3.165060024530092e+22,1.0685242642813591e+24
60,0.23907801626343506,-5.3369933648925924e+20,1.8017689599877392e+22
61,0.5600508653189579,-3.7760907453683335e+21,1.2748082356363495e+23
62,0.7373398263811293,-3.6524058197991077e+22,1.2330522047641788e+24
63,0.8143580699557258,-9.801921803651192e+22,3.3091288009126426e+24
64,0.8827402770109702,-1.1314755112038934e+23,3.819861325824344e+24
65,0.8866083996121819,-3.86252201940706e+22,1.3039874337518235e+24
66,0.9460594405313766,-6.036161829387395e+22,2.0378082336011846e+24
67,0.9447065888081616,-8.026215456249746e+22,2.7096503380299144e+24
68,0.9557011226148184,-6.51294589013257e+23,2.1987705325087563e+25
69,0.698412390130112,-7.740890425259207e+23,2.6133246075675087e+25
70,0.9467277223949403,-4.322354720984532e+21,1.459226953804378e+23
71,0.9754060158171474,-2.847892115302325e+24,9.614483781260649e+25
72,0.9755699854351809,-4.675476026031726e+24,1.5784407063883108e+26
73,0.9755875327921624,-1.4234365974339254e+25,4.805521952936932e+26
74,0.9758542949952692,-2.3222043403843677e+25,7.839761853137625e+26
75,0.9759132459820171,-4.4200066422572895e+25,1.492194242426061e+27
76,0.9773103414427781,-7.416720863879271e+26,2.5038849636456424e+28
77,0.9763158240788031,-6.465178676154348e+26,2.1826443210697077e+28
78,0.9795266637278839,-3.90987534904258e+26,1.319973917836775e+28
79,0.9795792863697881,-8.113298323577389e+26,2.7390495140397266e+28
80,0.9795122777702306,-3.035140237342095e+27,1.0246633441266913e+29
81,0.9795243965119338,-8.405776748770776e+27,2.837790230385014e+29
82,0.9796769594788319,-1.0143620154541496e+28,3.424486164173209e+29
83,0.9798072535368064,-1.1862308528311224e+28,4.00471535915787e+29
84,0.9799981588655466,-1.772448999317078e+28,5.983787821694456e+29
85,0.9800045463683446,-2.105192330520912e+28,7.1071293078386e+29
86,0.9801729085455939,-2.50948337723036e+28,8.472015881529696e+29
87,0.9801950699709203,-2.671284007099454e+28,9.018254807967758e+29
88,0.9801576429757888,-2.35425103901631e+28,7.947951507719063e+29
89,0.9801544175330641,-1.6073817785344434e+28,5.4265208843322815e+29
90,0.9802772902094646,-2.2209085397528664e+28,7.497787230205677e+29
91,0.9802785484335441,-5.951019890836465e+27,2.0090643151463907e+29
92,0.9807071062595548,-2.184535549294562e+27,7.374992014418442e+28
93,0.9807315643975543,-2.0126643253608386e+27,6.794754762418191e+28
94,0.980793956868288,-3.0394749510068036e+27,1.026126743459897e+29
95,0.9808177046350207,-4.321077637568656e+28,1.4587958104431782e+30
96,0.9809819360245977,-5.5908891525435506e+28,1.887484177898703e+30
97,0.9810208350744543,-2.6319127666346305e+29,8.885337500158514e+30
98,0.9809281484652707,-1.99305262381175e+29,6.728545657988469e+30
99,0.9825678129265244,-1.5194604257639748e+29,5.12969839737918e+30
100,0.9820086916372215,-4.803467847933136e+28,1.621650745462227e+30
101,0.982017974969103,-1.3277098345760693e+27,4.48234840152881e+28
102,0.9819087850721501,-1.080807982554844e+29,3.648807749105153e+30
103,0.9818551105598785,-8.089568031874522e+29,2.7310381675608383e+31
104,0.9818436530876585,-5.697052377179173e+29,1.9233248825356887e+31
105,0.98183765220934,-1.803559710269603e+30,6.08881758187018e+31
106,0.9816098673972019,-2.0796105247936566e+30,7.0207651317033845e+31
107,0.9816225234483773,-3.775885364552677e+30,1.274738899072984e+32
108,0.9816076795557716,-4.407342949670337e+30,1.487918979808706e+32
109,0.981616435506433,-1.2839024683407095e+31,4.334454733118235e+32
110,0.9816222855075375,-1.4693773098663622e+31,4.960617798108839e+32
111,0.9816228168528263,-3.2510398056254017e+31,1.0975510383791357e+33
112,0.9814566455602305,-4.177290455164667e+31,1.4102532576635914e+33
